Compound name;Flavor profile;Fine-flavor note;Fine-flavor cocoa;Bulk cocoa;Fermentation;Drying;Roasting;America;Africa;Asia
2-Acetophenol;Phenolic, sharp, benzaldehyde;0;1;0;1;0;0;1;0;0
4-Phenyl-3-buten-2-one;Sweet, spicy, cinnamon, fruity;1;1;0;1;0;0;1;0;0
1-(4-Ethylphenyl)-ethanone;Sweet, anisic, vanilla-like;1;1;0;1;1;0;1;0;0
Benzophenone;Balsam, rose, geranium;1;1;0;1;0;0;1;0;0
Methyl isovalerate;Fruity;1;1;0;0;1;0;1;0;0
Ethyl pentanoate;Fruity, apple;1;1;0;1;1;0;1;0;0
2-Pentyl acetate;Banana;1;1;0;1;0;1;1;1;0
Isoamyl isovalerate;Fruity;1;1;0;1;0;0;1;0;0
Isoamyl lactate;Fruity creamy nutty;1;1;0;1;0;0;1;0;0
Hexyl butyrate;Apple peel;1;1;0;1;0;0;1;0;0
Methyl benzoate;Ppune, lettuce, herb, sweet;0;1;0;1;0;0;1;0;0
Benzyl acetate;Fresh, floral, jasmine;1;1;0;1;1;1;1;1;1
Methyl phenylacetate;Sweet, honey, jasmine;1;1;0;1;0;0;1;0;0
2-Phenethyl acetate;Fruity, sweet, floral;1;1;0;1;1;0;1;0;0
Isobutyl benzoate;Balsamic;1;1;0;1;1;1;1;1;0
Butyl butyrate;Fruity;1;1;0;1;0;0;1;0;0
Ethyl 3-phenylpropionate;Floral;1;1;0;1;0;0;1;0;0
Ethyl myristate;Waxy, soapy;0;1;0;1;0;0;1;0;0
Ethyl cinnamate;Honey, cinnamon;1;1;0;1;1;0;1;0;0
Ethyl palmitate;Waxy, green;0;1;0;1;1;0;1;0;0
2-ethyl-5-methyl-furan;Fresh gassy burnt;0;1;0;1;1;0;1;0;0
?-Pinene;Pine, turpentine;0;1;1;1;0;0;1;1;0
Biphenyl;Pungent rose green geranium;1;1;0;1;0;0;1;0;0
Butyric acid;butter, sweat, acetic, sharp, rancid, fruit, cheese;1;0;1;0;0;1;0;1;0
3-Methylbutyric acid;acidic, overripe fruit;0;0;1;0;0;1;0;1;0
2-Methyl-1-butanol;roasted, onion, malt, wine, fruity;1;1;1;0;0;1;1;1;0
3-Methyl-1-butanol;Malty, chocolate;1;1;1;0;1;1;1;1;1
5-Methyl-2-isopropyl-2-hexenal;Unknown;0;0;1;0;0;1;0;1;0
3-Methylbutyl acetate;banana;1;0;1;0;0;1;0;1;0
Heptyl acetate;apricot, fresh, ripe, fruit, woody, rum, pear, green;1;1;1;0;0;1;1;1;0
Ethyl isobutanoate;Unknown;0;0;1;0;0;1;0;1;0
4-Ethylphenyl acetate;Unknown;0;1;1;0;0;1;1;1;0
2-Ethyl-5-methylpyrazine;Fruity, green, sweet;1;1;1;0;0;1;1;1;0
2-Ethyl-3-methyl pyrazine;Unknown;0;0;1;0;0;1;0;1;0
3-Ethyl-2,5-dimethyl pyrazine;Unknown;0;0;1;0;0;1;1;1;1
2-Pentylfuran;butter, green bean, vegetable, earthy, beany, fruity, metallic, green;1;1;1;0;0;1;1;1;0
2-Methyl-tetrahydro-3-furanone;Unknown;0;1;1;0;0;1;1;1;0
?-Butyrolactone;sweet, caramel flavor;1;1;1;0;0;1;1;1;1
?-3-Carene;Unknown;0;1;1;0;0;1;1;1;0
trans-?-Ocimene;Unknown;0;1;1;0;0;1;1;1;0
Apigenin;bitter;0;1;1;0;0;1;1;1;1
L-Tryptophan;bitter;0;1;1;0;0;1;1;1;0
2-Phenyl ethyl alcohol;Unknown;0;1;1;0;0;0;1;1;1
2-Pentyl furan;Unknown;0;1;1;0;0;0;1;1;1
Pentanoic acid;Unknown;0;1;0;0;1;1;1;0;0
Nonanoic acid;Green, fatty;0;1;0;1;1;0;1;0;0
Pentan-1-ol;Fruity;1;1;0;0;1;1;1;0;0
Pentan-2-ol;Unknown;0;1;0;0;0;1;1;0;0
Hexan-2-ol;Green grass;0;1;0;0;1;1;1;0;0
2-methylbutan-1-ol;Unknown;0;1;0;0;1;0;1;0;0
3-methylbutan-1-ol;Plastic, Fuel oil, whiskey characteristic pungent;0;1;0;0;1;1;1;0;0
2-methylbutan-2-ol;Unknown;0;1;0;0;1;0;1;0;0
2-methyl-but-3-en-2-ol;Unknown;0;1;0;0;0;1;1;0;0
2-ethylhexan-1-ol;Leafy, rose;1;1;0;0;0;1;1;0;0
Butan-2,3-diol;Fruit, onions;1;1;0;0;0;1;1;0;0
Butane-1,3-diol;Unknown;0;1;0;0;0;1;1;0;0
Cis-hept-4-en-1-ol;Unknown;0;1;0;0;0;1;1;0;0
5-methyl-2-phenylhex-2-enal;Cacao;1;1;0;0;0;1;1;0;0
Methyl octanoate;Fruity, orange, wax, wine;1;1;0;0;0;1;1;0;0
Ethyl propanoate;Fruity, strong, strawberry;1;1;0;0;1;1;1;0;0
Ethyl butanoate;Strawberry, fruity, sweet, kiwi, pineapple;1;1;0;0;0;1;1;0;0
Ethyl 3-hydroxyhexanoate;Strawberry;1;1;0;0;0;1;1;0;0
Ethyl dodecanoate;Floral, fruity, leaf;1;1;0;0;0;1;1;1;1
Ethyl hexadecanoate;Unknown;0;1;0;0;1;0;1;0;0
Ethyl 2-methylpropanate;Fruity, sweet, rubber;1;1;0;0;1;0;1;0;0
Ethyl 2-methylbutanoate;Green apple, fruity, red fruit;1;1;0;0;1;1;1;0;0
Butyl benzoate;balsamic, amber, mild, fruity, balsam;1;1;0;0;0;0;1;0;0
Propyl acetate;Celery, floral, pear, red fruit;1;1;0;1;1;1;1;0;0
2-methylpropyl acetate;Strawberry;1;1;0;0;1;0;1;0;0
1-methylbutyle acetate;Unknown;0;1;0;0;1;1;1;0;0
3-methylbutyle acetate;Banana;1;1;0;0;1;1;1;0;0
Butan-2,3-diyl diacetate;Unknown;0;1;0;0;1;0;1;0;0
Meso butan-2,3-di-yl diacetate;Unknown;0;1;0;0;1;0;1;0;0
3-methyl-but-2-enyl acetate;Jasmin, banana, fresh, ripe, heliotrope, sweet, fruity, balsam, lavender;1;1;0;0;1;1;1;0;0
1-methylhexyle acetate;Unknown;0;1;0;0;1;1;1;0;0
1-phenylethyl acetate;Fruity;1;1;0;0;0;1;1;0;0
Acetone;Acre;0;1;0;0;0;1;1;0;0
Butan-2-one;Fruity, ethereal;1;1;0;0;1;0;1;0;0
3-hydroxy-butan-2-one;Butter, cream;0;1;0;0;1;1;1;0;0
Pentan-2-one;Ether, fruity;1;1;0;0;1;1;1;0;0
Pentan-2,3-dione;Cream, butter;0;1;0;0;0;1;1;0;0
Hexan-2-one;Ether;0;1;0;0;1;0;1;0;0
Octan-2-one;Green, mouldy;0;1;0;0;0;1;1;0;0
Gamma–butyrolactone;Caramel, fat, sweet, creamy, oily;1;1;0;0;1;1;1;0;0
2,3,5,6- tetramethylpyrazine;Unknown;0;1;0;0;1;1;1;0;0
Trimethylpyridine;Unknown;0;1;0;0;0;1;1;0;0
Linalool cis pyranic oxide;Fruity, citrus, green;1;1;0;1;1;0;1;0;0
Linalool trans furanic oxide;Citrus, leafy, floral;1;1;0;0;1;1;1;0;0
Alanine ;Unknown;0;1;0;1;0;0;1;0;1
Aspartic acid;Unknown;0;1;0;1;0;0;1;0;0
Glutamic acid ;Unknown;0;1;0;1;0;0;1;0;0
Glutamine;Unknown;0;1;0;1;0;0;1;0;0
Leucine;Unknown;0;1;0;1;0;0;1;0;0
Phenylalanine;Unknown;0;1;0;1;0;0;1;0;1
Proline;Unknown;0;1;0;1;0;0;1;0;0
Serine;Unknown;0;1;0;1;0;0;1;0;0
Threonine;Unknown;0;1;0;1;0;0;1;0;0
Tyramine ;Unknown;0;1;0;1;0;0;1;0;0
Tyrosine;Unknown;0;1;0;1;0;0;1;0;0
Caffeoyl aspartic acid;Unknown;0;1;0;1;0;0;1;0;0
Avenanthramide 2;Unknown;0;1;0;1;0;0;1;0;0
Coumaric acid;balsam, balsamic;1;1;0;1;0;0;1;1;1
Oxoglutaric acid;Unknown;0;1;0;1;0;0;1;0;0
Salicylic acid;nutty, faint, phenolic;1;1;0;1;0;0;1;0;0
Sesamol  ;Unknown;0;1;0;1;0;0;1;0;0
Tetrahydroxychalcone 4'-O-(2''-O-acetyl-6''-O-cinnamoyl)glucoside;Unknown;0;1;0;1;0;0;1;0;0
Tumonoic Acid H;Unknown;0;1;0;1;0;0;1;0;0
Acetol ;Unknown;0;1;0;1;0;0;1;0;0
Hydroxyacetophenone;Unknown;0;1;0;1;0;0;1;0;0
Anhydrofructose;Unknown;0;1;0;1;0;0;1;0;0
Arabitol o Ribitol;Unknown;0;1;0;1;0;0;1;0;0
Decarboxybetanin;Unknown;0;1;0;1;0;0;1;0;0
Dihydrocaffeic acid 3-O-glucuronide;Unknown;0;1;0;1;0;0;1;0;0
Dihydroxyphenyl 1-O-(6-O-galloyl-beta-D-glucopyranoside);Unknown;0;1;0;1;0;0;1;0;0
Gluconic acid;sweet;0;1;0;1;0;0;1;0;0
Glucose;sweet;0;1;0;1;0;0;1;0;0
Maltose ;sweet;0;1;0;1;0;0;1;0;0
Mannitol ;Unknown;0;1;0;1;0;0;1;0;0
Raffinose;sweet;0;1;0;1;0;0;1;0;0
Ribose ;Unknown;0;1;0;1;0;0;1;0;1
Sorbitol;sweet, caramel, odorless;1;1;0;1;0;0;1;0;0
Sorbosone;sweet;0;1;0;1;0;0;1;0;0
Stachyose;Unknown;0;1;0;1;0;0;1;0;0
Catechol;Unknown;0;1;0;1;0;0;1;0;0
Dopamine ;Unknown;0;1;0;1;0;0;1;0;0
Methylcatechol;Unknown;0;1;0;1;0;0;1;0;0
Pyrocatechol;Unknown;0;1;0;1;0;0;1;0;0
Vanillin;vanilla, chocolate, sweet, creamy;1;1;0;1;0;0;1;0;0
Vanillin isobutyrate;caramel, chocolate, vanilla, sweet, creamy, fruity;1;1;0;1;0;0;1;0;0
Indolamine;Unknown;0;1;0;1;0;0;1;0;0
Indoleacrylic acid;Unknown;0;1;0;1;0;0;1;0;0
Phenylpropanoids;Unknown;0;1;0;1;0;0;1;0;0
Schizandrin;Unknown;0;1;0;1;0;0;1;0;0
Sinapine;Unknown;0;1;0;1;0;0;1;0;0
Nicotinamide ribotide;Unknown;0;1;0;1;0;0;1;0;0
Coumarin;sweet, new mown hay, green, tonka, bitter;0;1;0;1;0;0;1;0;0
Methylcoumarin;Unknown;0;1;0;1;0;0;1;0;0
Marmesin;Unknown;0;1;0;1;0;0;1;0;0
Occidentoside;Unknown;0;1;0;1;0;0;1;0;0
Alkannin;Unknown;0;1;0;1;0;0;1;0;0
Arecatannin A2;Unknown;0;1;0;1;0;0;1;0;0
Arecatannin A3;Unknown;0;1;0;1;0;0;1;0;0
A-type procyanidin dimer;Unknown;0;1;0;1;0;0;1;0;0
A-type procyanidin dimer ;Unknown;0;1;0;1;0;0;1;0;0
C-type procyanidin trimer ;Unknown;0;1;0;1;0;0;1;0;0
Butein -arabinosyl-galactoside;Unknown;0;1;0;1;0;0;1;0;0
Caffeoylpelargonidin 5-glucoside;Unknown;0;1;0;1;0;0;1;0;0
Epicatechin 3-glucoside;Unknown;0;1;0;1;0;0;1;0;0
Epigallocatechin 3-O-(4-hydroxybenzoate);Unknown;0;1;0;1;0;0;1;0;0
Isoflavonoid O-glycosides;Unknown;0;1;0;1;0;0;1;0;0
Kaempferol -diacetyl-coumarylrhamnoside;Unknown;0;1;0;1;0;0;1;0;0
Kaempferol-caffeoylglucosyl-rhamnoside;Unknown;0;1;0;1;0;0;1;0;0
Viscumneoside V;sweet;0;1;0;1;0;0;1;0;0
Hydroxyadenine ;Unknown;0;1;0;1;0;0;1;0;0
Xanthine;Unknown;0;1;0;1;0;0;1;0;1
Cytosine;Unknown;0;1;0;1;0;0;1;0;0
Maltol;caramel, jam, bread, cotton, sweet, fruity, baked, candy;1;1;0;1;0;0;1;0;0
Cedrol;soft, cedarwood, sweet, woody, dry;1;1;0;1;0;0;1;0;0
Irone;berry, powdery, floral, woody, orris, violet;1;1;0;1;0;0;1;0;0
Salannin;Unknown;0;1;0;1;0;0;1;0;0
Glycosides;Unknown;0;1;0;1;0;0;1;0;0
Methylthiooctyl-desulfoglucosinolate;Unknown;0;1;0;1;0;0;1;0;0
Resveratrol 3-sulfate;Unknown;0;1;0;1;0;0;1;0;0
Oleandolide;Unknown;0;1;0;1;0;0;1;0;0
Heptadecanoic acid ;Unknown;0;1;0;1;0;0;1;0;0
hydroxyandrostane-3-glucuronide;Unknown;0;1;0;1;0;0;1;0;0
hydroxy-tetradecenoic acid;Unknown;0;1;0;1;0;0;1;0;0
Keto-decanoylcarnitine;Unknown;0;1;0;1;0;0;1;0;0
Linalool xylosyl-glucoside;Unknown;0;1;0;1;0;0;1;0;0
Methylbutanoyl)-6-apiosylglucose;Unknown;0;1;0;1;0;0;1;0;0
Methylmalate;Unknown;0;1;0;1;0;0;1;0;0
Myristic acid;Unknown;0;1;0;1;0;0;1;0;0
Oleic acid;lard, fat, waxy, fatty, fried, faint;0;1;0;1;0;0;1;0;1
Stearic acid;fatty, odorless, mild;0;1;0;1;0;0;1;0;1
Deoxyestradiol;Unknown;0;1;0;1;0;0;1;0;0
Palmitoyl 3-carbacyclic Phosphatidic Acid;Unknown;0;1;0;1;0;0;1;0;0
Sphinganine;Unknown;0;1;0;1;0;0;1;0;0
Sulfoglycolithocholate;Unknown;0;1;0;1;0;0;1;0;0
13-Methyloxacyclo tetradecane-2,11-dione;Unknown;0;1;1;1;0;0;0;0;1
Margaric acid;Unknown;0;1;1;1;0;0;0;0;1
Butylated hydroxytoluene;Unknown;0;1;1;1;0;0;0;0;1
cis-Vaccenic acid;Unknown;0;1;1;1;0;0;0;0;1
Cytidine;Unknown;0;1;1;1;0;0;0;0;1
Elaidic acid;Unknown;0;1;1;1;0;0;0;0;1
Gibberellic acid;Unknown;0;1;1;1;0;0;0;0;1
Hexamethylcyclotrisiloxane;Unknown;0;1;1;1;0;0;0;0;1
Hydroxymethylfurfural;Unknown;0;1;1;1;0;0;0;0;1
Melamine;Unknown;0;1;1;1;0;0;0;0;1
Methylbutylpropylamine;Unknown;0;1;1;1;0;0;0;0;1
N-Ethylformamide;Unknown;0;1;1;1;0;0;0;0;1
Octane-1-D, 4-(methyl-D);Unknown;0;1;1;1;0;0;0;0;1
(9Z)-9-Octadecenal;Unknown;0;1;1;1;0;0;0;0;1
O-Propan-2-yl ethyl sulfanylmethanethioate;Unknown;0;1;1;1;0;0;0;0;1
Palmitic acid;fatty, slightly waxy;0;1;1;1;0;0;0;0;1
Paraxanthine;Unknown;0;1;1;1;0;0;0;0;1
1-Propanol;Sweet, candy;0;1;0;1;1;0;1;0;0
2-Methyl-1-propanol;Wine;0;1;0;1;1;0;1;0;0
3-Methyl-3-butanol;Unknown;0;1;0;1;1;0;1;0;0
Methyl formate;Unknown;0;1;0;1;1;0;1;0;0
Ethyl formate;alcohol, rose, pungent, cognac, green, ethereal, bitter;0;1;0;1;1;0;1;0;0
Ethyl 3-methylbutanoate;Fruity;1;1;0;1;1;0;1;0;0
3-Methyl-1-butanol acetate;Banana;1;1;0;1;1;0;1;1;1
Decanoic acid;Rancid, fatty;0;1;0;1;1;0;1;0;0
Undecanoic acid;oil, coconut, waxy, fatty, creamy, cheese;0;1;0;1;1;0;1;0;0
Dodecanoic acid;Unknown;0;1;0;1;1;0;1;0;1
2-Methoxy phenol;Smoky, sweet;0;1;0;1;1;0;1;0;0
2-Acetyl-1H-pyrrole;Chocolate, hazelnut;1;1;0;1;1;0;1;0;0
3-Methylbutanoic acid;Unpleasant blue cheese, sweaty;0;1;1;1;0;0;1;1;1
2-Methylbutanoic acid;Sweaty;0;1;1;1;0;0;1;1;1
2-Fenyl-2-butenal;Unknown;0;1;1;1;0;0;1;1;1
3-Methylbutanol;Unknown;0;1;1;1;0;0;1;1;1
2-Methylbutanol;Unknown;0;1;1;1;0;0;1;1;1
2,3-Butaandiol;Sweet, flowery;1;1;1;1;0;0;1;1;1
Benzene ethanol;Unknown;0;1;1;1;0;0;1;1;1
Methylacetate;Unknown;0;1;1;1;0;0;1;1;1
Ethylacetate;Unknown;0;1;1;1;0;0;1;1;1
1-Methylbutylacetate;Unknown;0;1;1;1;0;0;1;1;1
3-Methylbutylacetate;Unknown;0;1;1;1;0;0;1;1;1
2-Methylbutylacetate;Unknown;0;1;1;1;0;0;1;1;1
2-Phenylethylacetate;Fruity, sweet, flowery;1;1;1;1;0;0;1;1;1
2,5-Dimethyl-3-ethylpyrazine;Unknown;0;1;1;1;0;0;1;1;1
"2,3,5
Trimethylpyrazine-6-ethylpyrazine";Chocolate, cocoa, hazelnut, roasted;1;1;1;1;0;0;1;1;1
2-methylpyrazine;Fresh, aldehydic, floral, pungent;1;0;1;1;0;0;0;0;1
2,5(6)-dimethylpyrazine;Cocoa, roasted, nutty, meaty, roasted, coffee;1;0;1;1;0;0;0;0;1
2-ethyl-3-methylpyrazine and;"Nutty, nut skin, peanut, musty, corn, earthy bready, cocoa, baked potato, roasted
peanut, hazelnut";1;0;1;1;0;0;0;0;1
2-acetylpyrazine;nutty, corn chip, bread crust, chocolate, hazelnut, coffee;1;0;1;1;0;0;0;0;1
3,5-dimethyl-2-vinylpyrazine;Earthy, musty;0;0;1;1;0;0;0;0;1
(E)-2-isopropyl-5-methylhex-2-enal;Unknown;0;0;1;1;0;0;0;0;1
(Z)-2-isopropyl-5-methylhex-2-enal;Herbal, lavender, woody, green, blueberry, tomato;0;0;1;1;0;0;0;0;1
2-acetyl-6-methylpyrazine;Roasted, coffee, cocoa, popcorn;0;0;1;1;0;0;0;0;1
2-isobutyl-3-methylpyrazine;Herbal, green, caramel sugar;1;0;1;1;0;0;0;0;1
5-methyl-2,3-diethylpyrazine;Musty, nutty, meaty, roasted hazelnut;1;0;1;1;0;0;0;0;1
2-methyl-3,5-diethylpyrazine;Green, nutty;1;0;1;1;0;0;0;0;1
2-(3-ethylbutyl)pyrazine;Unknown;0;0;1;1;0;0;0;0;1
3-isobutyl-2,5-dimethylpyrazine;Cocoa, hazelnut, musty, earthy, roasted, nutty;1;0;1;1;0;0;0;0;1
2-isopentyl-6-methylpyrazine;Unknown;0;0;1;1;0;0;0;0;1
2-isopentyl-3-methylpyrazine;Unknown;0;0;1;1;0;0;0;0;1
2-isobutyl-3-isopropylpyrazine;Unknown;0;0;1;1;0;0;0;0;1
5-ethyl-2-isobutyl-3-methylpyrazine;Unknown;0;0;1;1;0;0;0;0;1
3-(2-methylbutyl)-2,5-dimethylpyrazine;Unknown;0;0;1;1;0;0;0;0;1
3-(3-methylbutyl)-2,5-dimethylpyrazine;Fruity;1;0;1;1;0;0;0;0;1
3,4,5-trimethyl-2-cyclopenten-1-one;Unknown;0;0;1;1;0;0;0;0;1
(E)-2-methyl-5-phenylpent-2-enal;Unknown;0;0;1;1;0;0;0;0;1
2,3,5-trimethyl-6-propylpyrazine;Unknown;0;0;1;1;0;0;0;0;1
2-isopentyl-3,5,6-trimethylpyrazine;Anise, floral;1;0;1;1;0;0;0;0;1
2-isobutyl-3,5-dimethylpyridine;Unknown;0;0;1;1;0;0;0;0;1
(E)-5-methyl-2-phenylhex-2-enal;Bitter, cocoa, nut skin, green, sweet, chocolate, fruity, butyric;1;0;1;1;0;0;0;0;1
Ferulic acid;Unknown;0;1;1;0;0;1;1;1;1
Luteolin-glucoside;Unknown;0;1;1;0;0;1;1;1;1
Genistin;bitter;0;1;1;0;0;1;1;1;1
Naringin;bitter;0;1;1;0;0;1;1;1;1
Naringenin-7-O-glucoside;Unknown;0;1;1;0;0;1;1;1;1
"kaempeferol-
3-O-rhamnoside";Unknown;0;1;1;0;0;1;1;1;1
kaempeferol;Unknown;0;1;1;0;0;1;1;1;1
Sucrose;sweet;0;0;1;1;0;0;0;0;1
3,7,11,15-Tetramethyl-2-hexadecen-1-ol;Unknown;0;0;1;1;0;0;0;0;1
"1,6-methanonaphthalen-1(2h)-ol, octahydro-4,8a,9,9-tetramethyl
1,1,4,7-tetramethyldecahydro-1h-cyclopropa[e]azulen-4-ol";Unknown;0;0;1;1;0;0;0;0;1
2-hydroxy-2,6-dimethyl-hept-6-en-3-one;Unknown;0;0;1;1;0;0;0;0;1
Tetradecanoic acid;fatty, soapy, waxy, coconut;1;0;1;1;0;0;0;0;1
Hexadecanoic acid;Unknown;0;0;1;1;0;0;0;0;1
n-hexadecanoic acid;Unknown;0;0;1;1;0;0;0;0;1
9,12-octadecadienoic acid;Unknown;0;0;1;1;0;0;0;0;1
Octadecanoic Acid;Unknown;0;0;1;1;0;0;0;0;1
(E)-9-Octadecenoic Acid;Unknown;0;0;1;1;0;0;0;0;1
Citric acid;odorless;0;0;1;1;0;0;0;0;1
E-3-Tetradecen-1-ol acetate;Unknown;0;0;1;1;0;0;0;0;1
Octadec-9-enoic acid;Unknown;0;0;1;1;0;0;0;0;1
4-Methyl itaconate;Unknown;0;0;1;1;0;0;0;0;1
1H-purine-2,6-dione;Unknown;0;0;1;1;0;0;0;0;1
Oxacyclohexadecane-5-carbonitrile;Unknown;0;0;1;1;0;0;0;0;1
Glycerol tricaprylate;Unknown;0;0;1;1;0;0;0;0;1
2,3-Dimethylheptane;Unknown;0;1;1;0;1;1;1;1;1
 Isobutyl acetate;Unknown;0;1;1;0;1;1;1;1;1
1-Ethyl-2-methylbenzene;Unknown;0;1;1;0;1;1;1;1;1
Styrene;balsamic, gasoline, floral, sweet, balsam, plastic;1;1;1;0;1;1;1;1;1
2-Heptanol acetate;Unknown;0;1;1;0;1;1;1;1;1
2-Ethyl pyrazine;Unknown;0;1;1;0;1;1;1;1;1
(1-ethyl-2-pyrrolidinyl)-metanol;Unknown;0;1;1;0;1;1;1;1;1
2-Isopropyl-5-methyl-2-hexenal;Unknown;0;1;1;0;1;1;1;1;1
2,3-Dimethyl-5-ethyl pyrazine;Unknown;0;1;1;0;1;1;1;1;1
Tetramethyl pyrazine;Unknown;0;1;1;0;1;1;1;1;1
2-Ethyil-1-hexanol;Unknown;0;1;1;0;1;1;1;1;1
2,3,5-Trimethyl-6-ethyl pyrazine;Unknown;0;1;1;0;1;1;1;1;1
n-Butylbenzene;Unknown;0;1;1;0;1;1;1;1;1
Propanoic acid-2-metil;Unknown;0;1;1;0;1;1;1;1;1
2-Methyl-propanoic acid ethyl ester;Unknown;0;1;1;0;1;1;1;1;1
1,3-Propanediolo diacetato;Unknown;0;1;1;0;1;1;1;1;1
Benzoic acid ethyl ester;Unknown;0;1;1;0;1;1;1;1;1
Naphtalene;Unknown;0;1;1;0;1;1;1;1;1
Benzene acetic acid methyl estere;Unknown;0;1;1;0;1;1;1;1;1
Ethyl laurate;Unknown;0;1;1;0;1;1;1;1;1
1-Butanol-3-methylbenzoate;Unknown;0;1;1;0;1;1;1;1;1
Etanone-1-(1H-pirrol-2-il);Unknown;0;1;1;0;1;1;1;1;1
2-methylphenol;Unknown;0;1;1;0;1;1;1;1;1
1H-inden-1-one-2,3-dihydro;Unknown;0;1;1;0;1;1;1;1;1
1H-Pyrrole-2-carboxaldehyde (2-acetyl-1H-pyrrole);Unknown;0;1;1;0;1;1;1;1;1
4-hydroxy-2,5-dimethyl 3(2H)furanone (furaneol);Unknown;0;1;1;0;1;1;1;1;1
4-methyl phenol;Unknown;0;1;1;0;1;1;1;1;1
3-methyl phenol;Unknown;0;1;1;0;1;1;1;1;1
4H-pyran-4-one-2,3-dihydro-3,5-dihydroxy-6-methyl (dihydroxy-maltol);Unknown;0;1;1;0;1;1;1;1;1
4-Hydroxy-acetophenone;Unknown;0;1;0;0;1;1;1;0;0
Epoxylinalool;Floral;1;1;0;0;1;1;1;0;0
Ethyl 2-hydroxyhexanoate;Floral;1;1;0;0;1;1;1;0;0
Linalool cis furanic oxide;Floral, woody;1;1;0;0;1;1;1;0;0
Linalool trans pyranic oxide;Unknown;0;1;0;0;1;1;1;0;0
Phenylethanal;Floral, rose, honey;1;1;0;0;1;1;1;0;0
Propane;Unknown;0;1;0;0;0;1;1;0;0
Methanethiol;sulfur, garlic, gasoline, decomposing cabbage;0;1;0;0;0;1;1;0;0
Butene;Unknown;0;1;0;0;0;1;1;0;0
Propenal;Unknown;0;1;0;0;0;1;1;0;0
Propanal;Unknown;0;1;0;0;0;1;1;0;0
Propylamine;ammoniacal;0;1;0;0;0;1;1;0;0
Pyrrole;ethereal, nutty, sweet, warm;1;1;0;0;0;1;1;0;0
Pentadiene;Unknown;0;1;0;0;0;1;1;0;0
Furane;Unknown;0;1;0;0;0;1;1;0;0
Dihydrofuran;Unknown;0;1;0;0;0;1;1;0;0
Pyrrolidine;alkaline, egg, animal, ammoniacal, amine;0;1;0;0;0;1;1;0;0
Butanone;Unknown;0;1;0;0;0;1;1;0;0
Methylpropanol;Unknown;0;1;0;0;0;1;1;0;0
Methylpyrrole;Unknown;0;1;0;0;0;1;1;0;0
2-Methylfuran;ethereal, acetone, chocolate;0;1;0;0;0;1;1;0;0
Pentenone;Unknown;0;1;0;0;0;1;1;0;0
Piperidine;floral, sweet, heavy, bitter, animal;1;1;0;0;0;1;1;0;0
Formylpyrrole;Unknown;0;1;0;0;0;1;1;0;0
Ethylpyrrolidine;Unknown;0;1;0;0;0;1;1;0;0
Dimethylpyrazine;Unknown;0;1;0;0;0;1;1;0;0
Acetylpyrrole;Unknown;0;1;0;0;0;1;1;0;0
5-Methyl-2-furfural;Unknown;0;1;0;0;0;1;1;0;0
Methyl furfuryl alcohol;Unknown;0;1;0;0;0;1;1;0;0
Octenal;Unknown;0;1;0;0;0;1;1;0;0
Nonadienal;Unknown;0;1;0;0;0;1;1;0;0
Nonenal;Unknown;0;1;0;0;0;1;1;0;0
Diethyl-methylpyrazine;Unknown;0;1;0;0;0;1;1;0;0
Methoxy-isopropyl-pyrazine;Unknown;0;1;0;0;0;1;1;0;0
Tetradecanoic acid ethyl ester;Unknown;0;1;0;0;0;1;1;0;0
2-Hydroxyglutarate;Unknown;0;1;1;0;0;1;1;0;1
2-Hydroxyisobutyrate;Unknown;0;1;1;0;0;1;1;0;1
2-Hydroxyvalerate;Unknown;0;1;1;0;0;1;1;0;1
3,5-Dibromotyrosine;Unknown;0;1;1;0;0;1;1;0;1
3-Chlorotyrosine;Unknown;0;1;1;0;0;1;1;0;1
3-Hydroxy-3- methylglutarate;Unknown;0;1;1;0;0;1;1;0;1
3-Phenyllactate;Unknown;0;1;1;0;0;1;1;0;1
Anserine;Unknown;0;1;1;0;0;1;1;0;1
Arabinose;Unknown;0;1;1;0;0;1;1;0;1
Betaine;bland;0;1;1;0;0;1;1;0;1
Biotin;Unknown;0;1;1;0;0;1;1;0;1
Formate;Unknown;0;1;1;0;0;1;1;0;1
Fructose;sweet;0;1;1;0;0;1;1;0;1
Fumarate;Unknown;0;1;1;0;0;1;1;0;1
Gluconate;Unknown;0;1;1;0;0;1;1;0;1
Glucose-6-phosphate;Unknown;0;1;1;0;0;1;1;0;1
Glycine;oily, odorless, sweet, fatty, waxy;0;1;1;0;0;1;1;0;1
Glycolate;Unknown;0;1;1;0;0;1;1;0;1
Glycylproline;Unknown;0;1;1;0;0;1;1;0;1
Guanidinoacetate;Unknown;0;1;1;0;0;1;1;0;1
Homovanillate;Unknown;0;1;1;0;0;1;1;0;1
Imidazole;Unknown;0;1;1;0;0;1;1;0;1
Isocitrate;Unknown;0;1;1;0;0;1;1;0;1
Isoleucine;odorless, bitter;0;1;1;0;0;1;1;0;1
Lactate;Unknown;0;1;1;0;0;1;1;0;1
Lactose;sweet;0;1;1;0;0;1;1;0;1
Lactulose;sweet;0;1;1;0;0;1;1;0;1
Mannose;sweet;0;1;1;0;0;1;1;0;1
N-Acetylserotonin;Unknown;0;1;1;0;0;1;1;0;1
O-Phosphocholine;Unknown;0;1;1;0;0;1;1;0;1
